lp gpu texec
C++ Nvidia 235.023040045053
C++ Nvidia 258.507533813827
C++ Nvidia 412.580119166523
C++ Nvidia 210.336379916407
C++ Nvidia 342.536029778421
C++ Nvidia 288.248386001214
C++ Nvidia 381.39959317632
C++ Nvidia 436.545107630081
C++ Nvidia 322.178171132691
C++ Nvidia 413.58250642661
C++ Radeon 247.794904722832
C++ Radeon 302.77613918297
C++ Radeon 224.318526941352
C++ Radeon 244.979232898913
C++ Radeon 323.147293971851
C++ Radeon 299.115552240983
C++ Radeon 384.206356154755
C++ Radeon 330.263387202285
C++ Radeon 402.566523477435
C++ Radeon 256.638580281287
Go Nvidia 119.601546749473
Go Nvidia 109.893710436299
Go Nvidia 116.373021593317
Go Nvidia 110.069664865732
Go Nvidia 107.009954769164
Go Nvidia 102.804457927123
Go Nvidia 117.853970085271
Go Nvidia 112.184516894631
Go Nvidia 111.564687201753
Go Nvidia 117.200654498301
Go Radeon 103.364065000787
Go Radeon 110.319840516895
Go Radeon 119.314845316112
Go Radeon 111.875529438257
Go Radeon 101.278756419197
Go Radeon 116.697347136214
Go Radeon 111.327963285148
Go Radeon 114.387959050946
Go Radeon 101.892050090246
Go Radeon 111.399639877491
