texec iops
207 5
174 7
195 10
153 3
183 8
178 2
169 7
167 7
178 6
167 8
135 2
187 10
152 4
147 5
164 6
247 9
209 10
156 4
381 26
127 5
480 29
217 7
158 5
207 10
219 10
128 1
239 7
158 5
187 4
157 2
132 2
390 21
197 9
71 0
114 5
129 0
107 5
94 2
249 9
374 21
125 1
250 15
214 4
218 12
411 28
321 17
163 5
197 9
191 10
128 5
205 10
110 4
136 3
222 9
133 6
145 2
206 7
103 0
84 2
150 3
201 8
164 7
133 3
190 8
214 6
115 2
138 3
192 9
136 4
156 4
166 6
172 7
399 27
189 8
272 13
165 8
144 0
111 1
249 12
134 0
113 1
229 9
153 8
124 1
210 4
194 7
141 3
103 4
401 27
123 2
126 3
212 7
