insertion  selection
4.71141  2.62222
4.10863  2.66186
4.15392  2.60675
4.23934  2.67991
4.14925  2.66859
4.17202  2.64434
4.29940  2.77146
4.26010  2.60479
4.29344  2.70812
4.28349  2.72347
4.20955  2.67208
4.26235  2.78305
4.22636  2.65279
4.21884  2.68823
4.27918  2.75845
4.27696  2.67179
4.26548  2.73995
4.21252  2.74555
4.16312  2.65124
4.25895  2.74138
4.18338  2.74432
4.27600  2.74660
4.22847  2.77300
4.19516  2.73115
4.26062  2.65877
4.23380  2.75674
4.14621  2.54690
4.12427  2.57489
4.05580  2.56478
4.22154  2.63257
4.24768  2.60988
4.17108  2.71628
4.17140  2.59392
4.08769  2.54541
4.14169  2.57303
4.14984  2.63589
4.13814  2.77663
4.15279  2.59941
4.10701  2.68340
4.24353  2.67749
4.19756  2.71411
4.22086  2.70520
4.22042  2.70839
4.12260  2.68504
4.20454  2.70930
4.22101  2.71256
4.16288  2.70828
4.20954  2.76972
4.27612  2.61419
4.21740  2.71835
4.25645  2.71644
4.20314  2.68925
4.15366  2.62012
4.14286  2.58392
4.17115  2.67508
4.27709  2.69053
4.26135  2.67198
4.24439  2.63913
4.20605  2.63663
4.24574  2.63326
4.30015  2.74661
4.23638  2.64747
4.23054  2.69122
4.31934  2.70859
4.25708  2.65824
4.26734  2.68370
4.30322  2.69614
4.27088  2.70335
4.25882  2.77480
4.24013  2.62417
4.26011  2.78607
4.22867  2.73515
4.28704  2.76612
4.24977  2.65968
4.25931  2.73480
4.29607  2.74616
4.24975  2.74017
4.21406  2.64706
4.27603  2.79113
4.29364  2.69530
4.24770  2.70675
4.30524  2.63194
4.21995  2.70018
4.22455  2.71450
4.28507  2.74844
4.22038  2.69235
4.25691  2.70971
4.23344  2.74983
4.20103  2.65898
4.27263  2.76927
4.27043  2.73754
4.26497  2.74036
4.25395  2.75762
4.27234  2.69623
4.29561  2.66679
4.22292  2.62136
4.25787  2.80560
4.30986  2.68188
4.29901  2.77979
4.28876  2.65398
