insertion  selection
4.34132  2.57353
4.15190  2.69217
4.18114  2.64314
4.24729  2.66755
4.33521  2.72602
4.32907  2.68655
4.36269  2.73119
4.31156  2.73013
4.33662  2.82488
4.35542  2.79067
4.34778  2.77605
4.32111  2.82147
4.35125  2.76015
4.40680  2.77283
4.32698  2.76597
4.37354  2.81268
4.33445  2.66912
4.32464  2.74303
4.27553  2.61803
4.28974  2.73202
4.31628  2.73458
4.26358  2.73556
4.30716  2.69558
4.24115  2.59317
4.36124  2.67989
4.40176  2.75828
4.41110  2.76014
4.33265  2.83121
4.43009  2.68985
4.28616  2.64563
4.38434  2.67752
4.32187  2.74299
4.34604  2.75194
4.39077  2.68281
4.36949  2.81221
4.32557  2.74076
4.36544  2.79925
4.36500  2.79230
4.43084  2.72347
4.35147  2.78668
4.38276  2.79216
4.38508  2.80177
4.35090  2.79821
4.38272  2.79731
4.34472  2.77592
4.37708  2.79281
4.36263  2.72790
4.33987  2.79819
4.36020  2.79606
4.38546  2.76543
4.48491  2.80698
4.33471  2.77134
4.43972  2.77626
4.32469  2.70336
4.36213  2.73157
4.38804  2.80946
4.41314  2.81662
4.40073  2.72808
4.32906  2.68170
4.40127  2.81651
4.34703  2.76080
4.34393  2.72115
4.29661  2.75417
4.34924  2.79300
4.35359  2.76852
4.30217  2.79053
4.35817  2.81512
4.27562  2.65298
4.29921  2.62465
4.29590  2.62053
4.25965  2.67678
4.27636  2.70548
4.35549  2.74896
4.26264  2.72549
4.20267  2.67836
4.36772  2.65551
4.22748  2.69097
4.38253  2.70443
4.40263  2.71238
4.34991  2.77109
4.39228  2.72503
4.35990  2.71233
4.41884  2.79060
4.29143  2.57764
4.22250  2.67180
4.26592  2.71632
4.24314  2.70291
4.25470  2.64776
4.29595  2.64239
4.24268  2.70342
4.27021  2.64762
4.25677  2.73262
4.27717  2.70943
4.28825  2.72109
4.27778  2.64432
4.27314  2.64511
4.25411  2.71391
4.29650  2.71655
4.27044  2.73171
4.24727  2.74072
