merge	heap	quick
0.20411	0.30704	0.08506
0.20658	0.30896	0.08385
0.20468	0.30880	0.08415
0.20328	0.30671	0.08567
0.20233	0.30646	0.08319
0.20105	0.30765	0.08651
0.20084	0.30586	0.08107
0.20326	0.30686	0.08089
0.20413	0.30935	0.08255
0.20492	0.30742	0.08916
0.21531	0.30866	0.08741
0.21526	0.30888	0.08368
0.21593	0.31055	0.08470
0.21446	0.31126	0.08716
0.20472	0.30599	0.08871
0.21330	0.33074	0.09086
0.20111	0.30512	0.08414
0.20370	0.30608	0.09097
0.20463	0.30744	0.08672
0.20768	0.30842	0.08747
0.21892	0.30989	0.08998
0.21917	0.30934	0.08527
0.20508	0.31141	0.08916
0.20487	0.31335	0.08826
0.20657	0.31536	0.08558
0.20682	0.31210	0.08764
0.20554	0.31246	0.08832
0.20574	0.31271	0.08652
0.20738	0.31350	0.08714
0.22072	0.31442	0.08465
0.20709	0.31462	0.08943
0.20719	0.31480	0.08984
0.20700	0.31432	0.08472
0.22047	0.31448	0.08705
0.20805	0.31411	0.08972
0.20670	0.31368	0.08715
0.20484	0.31434	0.09343
0.20626	0.31313	0.08586
0.20613	0.31474	0.08702
0.20642	0.31741	0.08790
0.20771	0.31651	0.09242
0.20725	0.32034	0.09327
0.20784	0.31689	0.09512
0.20723	0.31706	0.08962
0.20706	0.31505	0.08713
0.20865	0.31513	0.08972
0.20596	0.31399	0.08864
0.20616	0.31264	0.08817
0.22880	0.31216	0.08552
0.20673	0.31299	0.08673
0.20748	0.31475	0.08781
0.20738	0.31522	0.09261
0.20734	0.31573	0.08562
0.20891	0.31385	0.09064
0.20719	0.31345	0.08743
0.20760	0.31321	0.09300
0.20631	0.31199	0.08472
0.20468	0.31350	0.08677
0.20684	0.31320	0.09010
0.20633	0.31380	0.08671
0.20503	0.31370	0.08680
0.20758	0.31335	0.08797
0.20706	0.31671	0.08774
0.20697	0.31374	0.08762
0.22937	0.31263	0.08995
0.20774	0.31303	0.08697
0.20748	0.31293	0.08754
0.22799	0.31159	0.08848
0.20518	0.31495	0.09546
0.20508	0.31197	0.08918
0.20559	0.31122	0.08687
0.20517	0.31322	0.08756
0.20773	0.31387	0.08988
0.20612	0.31528	0.09066
0.20683	0.31473	0.08841
0.20750	0.31423	0.08398
0.20611	0.31512	0.08899
0.20584	0.31438	0.08680
0.20525	0.31348	0.08918
0.20582	0.31399	0.09123
0.20607	0.31468	0.08667
0.20751	0.31406	0.08874
0.20809	0.31571	0.08576
0.22803	0.31640	0.08678
0.20676	0.31463	0.09188
0.22822	0.31516	0.08639
0.22837	0.31417	0.08679
0.24982	0.31633	0.08998
0.20413	0.31299	0.08633
0.20463	0.31065	0.08711
0.22771	0.31210	0.09292
0.20307	0.30660	0.08846
0.20549	0.31360	0.08696
0.20586	0.31180	0.08862
0.20710	0.30944	0.09057
0.20524	0.30952	0.08555
0.21052	0.31603	0.08536
0.20721	0.31182	0.08671
0.20383	0.31031	0.09193
0.20316	0.31447	0.08573
