n	tempo
120000	0.58009
120000	0.57913
120000	0.58538
120000	0.58405
120000	0.58396
125000	0.60825
125000	0.60260
125000	0.60145
125000	0.60171
125000	0.60228
130000	0.62701
130000	0.62835
130000	0.62747
130000	0.62759
130000	0.62786
135000	0.65160
135000	0.65178
135000	0.65243
135000	0.65288
135000	0.65651
140000	0.67764
140000	0.67884
140000	0.67753
140000	0.67695
140000	0.67628
145000	0.70136
145000	0.70020
145000	0.70020
145000	0.70129
145000	0.70044
150000	0.72621
150000	0.72678
150000	0.72674
150000	0.72671
150000	0.72670
155000	0.75200
155000	0.75300
155000	0.75259
155000	0.75126
155000	0.75152
160000	0.77531
160000	0.77267
160000	0.77645
160000	0.77694
160000	0.77369
165000	0.79729
165000	0.79786
165000	0.80071
165000	0.79917
165000	0.79025
170000	0.81476
170000	0.81446
170000	0.81740
170000	0.81953
170000	0.82008
175000	0.84395
175000	0.84501
175000	0.84384
175000	0.84502
175000	0.84384
180000	0.86779
180000	0.86682
180000	0.87072
180000	0.87074
180000	0.86964
185000	0.89491
185000	0.89467
185000	0.89446
185000	0.89075
185000	0.88974
190000	0.91294
190000	0.91400
190000	0.92509
190000	0.92752
190000	0.92612
195000	0.94034
195000	0.93623
195000	0.93647
195000	0.93704
195000	0.93686
200000	0.96113
200000	0.96145
200000	0.96290
200000	0.96163
200000	0.96255
205000	0.98656
205000	0.98657
205000	0.98711
205000	0.98753
205000	0.98686
210000	1.01136
210000	1.01113
210000	1.01098
210000	1.01136
210000	1.01040
215000	1.03383
215000	1.03388
215000	1.03395
215000	1.03347
215000	1.03494
220000	1.05752
220000	1.05997
220000	1.05570
220000	1.05701
220000	1.05575
225000	1.07876
225000	1.08099
225000	1.08198
225000	1.08159
225000	1.08173
230000	1.10655
230000	1.10585
230000	1.10490
230000	1.10779
230000	1.12067
235000	1.14374
235000	1.13931
235000	1.13058
235000	1.13258
235000	1.12920
240000	1.15184
240000	1.15314
240000	1.15392
240000	1.15190
240000	1.15376
245000	1.18029
245000	1.17901
245000	1.17880
245000	1.17829
245000	1.17987
250000	1.20342
250000	1.20323
250000	1.20302
250000	1.20417
250000	1.19881
255000	1.22324
255000	1.22150
255000	1.22185
255000	1.22177
255000	1.22458
260000	1.25151
260000	1.24842
260000	1.22393
260000	1.22584
260000	1.22282
265000	1.24888
265000	1.24459
265000	1.24253
265000	1.24478
265000	1.24168
270000	1.26435
270000	1.26624
270000	1.26622
270000	1.26482
270000	1.26424
275000	1.28902
275000	1.28802
275000	1.28891
275000	1.29030
275000	1.28570
280000	1.30991
280000	1.30717
280000	1.30997
280000	1.31023
280000	1.30937
285000	1.33095
285000	1.33110
285000	1.32853
285000	1.33097
285000	1.33236
290000	1.35484
290000	1.35529
290000	1.35588
290000	1.35368
290000	1.35751
295000	1.37465
295000	1.38025
295000	1.37911
295000	1.38101
295000	1.37872
300000	1.40101
300000	1.40455
300000	1.40199
300000	1.40664
300000	1.40553
305000	1.42729
305000	1.42746
305000	1.42739
305000	1.42695
305000	1.42422
310000	1.44746
310000	1.44955
310000	1.44987
310000	1.44863
310000	1.45090
315000	1.47248
315000	1.47225
315000	1.47238
