n	tempo
120000	0.48063
120000	0.47788
120000	0.48027
120000	0.48032
120000	0.48135
125000	0.50052
125000	0.49937
125000	0.49918
125000	0.49863
125000	0.49875
130000	0.51733
130000	0.51704
130000	0.51834
130000	0.51872
130000	0.51734
135000	0.53781
135000	0.53726
135000	0.53740
135000	0.53721
135000	0.53699
140000	0.55672
140000	0.55697
140000	0.55899
140000	0.55716
140000	0.55738
145000	0.57543
145000	0.57755
145000	0.57760
145000	0.57928
145000	0.58392
150000	0.59933
150000	0.59903
150000	0.60041
150000	0.60082
150000	0.59982
155000	0.61998
155000	0.62186
155000	0.62109
155000	0.61825
155000	0.61918
160000	0.63849
160000	0.63832
160000	0.63863
160000	0.63869
160000	0.64139
165000	0.65974
165000	0.65899
165000	0.65819
165000	0.66137
165000	0.66006
170000	0.68043
170000	0.68551
170000	0.67963
170000	0.68053
170000	0.68185
175000	0.69931
175000	0.69905
175000	0.69682
175000	0.69629
175000	0.69591
180000	0.71693
180000	0.71811
180000	0.71870
180000	0.71707
180000	0.71807
185000	0.73924
185000	0.74028
185000	0.73917
185000	0.73990
185000	0.73937
190000	0.76049
190000	0.76161
190000	0.76140
190000	0.75973
190000	0.75872
195000	0.77845
195000	0.77895
195000	0.77843
195000	0.77992
195000	0.77944
200000	0.79841
200000	0.79836
200000	0.80437
200000	0.80829
200000	0.81219
205000	0.82863
205000	0.83884
205000	0.83200
205000	0.83422
205000	0.83111
210000	0.84425
210000	0.83631
210000	0.83725
210000	0.83644
210000	0.83616
215000	0.85912
215000	0.85872
215000	0.87524
215000	0.89074
215000	0.89233
220000	0.91274
220000	0.90786
220000	0.90779
220000	0.91128
220000	0.91060
225000	0.93086
225000	0.92845
225000	0.92690
225000	0.92759
225000	0.92961
230000	0.94762
230000	0.95021
230000	0.96219
230000	0.95050
230000	0.95018
235000	0.97199
235000	0.97044
235000	0.96883
235000	0.96744
235000	0.96717
240000	0.98769
240000	0.98890
240000	0.98870
240000	0.98762
240000	0.98960
245000	1.00974
245000	1.01105
245000	1.01216
245000	1.01156
245000	1.01139
250000	1.03036
250000	1.02946
250000	1.03084
250000	1.03415
250000	1.02914
255000	1.04808
255000	1.05058
255000	1.04921
255000	1.04936
255000	1.05158
260000	1.07381
260000	1.07060
260000	1.07312
260000	1.07068
260000	1.06990
265000	1.09139
265000	1.09127
265000	1.09268
265000	1.09206
265000	1.09018
270000	1.11212
270000	1.11196
270000	1.11517
270000	1.11492
270000	1.11657
275000	1.13315
275000	1.13297
275000	1.13318
275000	1.13315
275000	1.13368
280000	1.15454
280000	1.15536
280000	1.15428
280000	1.15285
280000	1.15386
285000	1.17637
285000	1.17550
285000	1.17631
285000	1.17461
285000	1.17391
290000	1.19425
290000	1.19540
290000	1.19420
290000	1.19612
290000	1.19438
295000	1.21651
295000	1.22201
295000	1.21834
295000	1.22635
295000	1.22074
300000	1.23450
300000	1.23690
300000	1.23713
300000	1.23816
300000	1.24207
305000	1.26292
305000	1.26223
