x1	y1	x2	y2	x3	y3	x4	y4	x5	y5
10	83.1	10	16.3	10	30.3	10	66.3	12.9	15.7
10.2	56.3	10.2	16.8	10.2	29.9	10.2	63.1	15.3	15.4
10.4	44	10.4	20.8	10.4	30.9	10.4	63.5	11.8	15.3
10.6	56.9	10.6	20.7	10.6	30.7	10.6	61.5	18.9	13.8
10.8	56.4	10.8	17.5	10.8	30.2	10.8	64.9	12.6	17.3
11	49.3	11	23.9	11	30.8	11	62.3	15.5	14.1
11.2	33.4	11.2	24.6	11.2	32.8	11.2	59.2	13.4	14.7
11.4	54.7	11.4	24.6	11.4	33.3	11.4	60.7	14.8	15.4
11.6	49	11.6	26.5	11.6	29.7	11.6	61.5	17.2	11.6
11.8	36.8	11.8	28.2	11.8	36.9	11.8	58	13	15.2
12	49.9	12	30.3	12	36.4	12	58.5	18.7	13.9
12.2	39.7	12.2	30.8	12.2	38.1	12.2	58.3	15.8	15.9
12.4	40.4	12.4	33.9	12.4	30	12.4	60	17	16.8
12.6	72.5	12.6	37.1	12.6	34	12.6	55	17.2	17.2
12.8	36.1	12.8	39.5	12.8	35.9	12.8	57.5	11.5	13.5
13	52.5	13	39.1	13	35.1	13	57.1	16	17.2
13.2	44.8	13.2	41.8	13.2	23	13.2	56.9	13.3	14.4
13.4	48.1	13.4	45.1	13.4	39.7	13.4	59.3	13	12.4
13.6	37.6	13.6	46	13.6	40.4	13.6	55.4	15.9	18.1
13.8	42.6	13.8	48.3	13.8	37.3	13.8	55.8	12.5	13.4
14	46.2	14	51.7	14	34.8	14	57.5	13.8	12.8
14.2	62.5	14.2	52.4	14.2	36.5	14.2	53	15.6	18.9
14.4	40.6	14.4	55.2	14.4	34.9	14.4	54.8	13.3	14
14.6	52.4	14.6	59.1	14.6	35.9	14.6	56.2	12	13.8
14.8	30.8	14.8	59.4	14.8	36.7	14.8	52.1	13.1	13.5
15	13.2	15	62.6	15	37.6	15	52.1	12.4	16.5
15.2	38.9	15.2	65.5	15.2	36.8	15.2	49.6	13.8	16.7
15.4	28.3	15.4	69.9	15.4	51.4	15.4	50.3	15.6	13.2
15.6	52.2	15.6	71.9	15.6	39.2	15.6	50.8	16	16.2
15.8	43.9	15.8	74.9	15.8	39.4	15.8	52.4	18.7	17.2
16	27.6	16	75.9	16	35.6	16	49.8	14.1	16.6
16.2	44.2	16.2	79.4	16.2	48.3	16.2	49.9	17.1	16.6
16.4	67.5	16.4	83.3	16.4	43	16.4	48	13.4	12.7
16.6	60.6	16.6	88.9	16.6	49.4	16.6	48.5	19.8	12.9
16.8	50.5	16.8	90	16.8	44.1	16.8	48.4	15.5	12.6
17	32	17	96.2	17	45.2	17	51.1	16.6	13.3
17.2	39.1	17.2	97.8	17.2	45.3	17.2	48.2	15.6	14.3
17.4	32.2	17.4	98.7	17.4	53.2	17.4	46.7	16.1	16.6
17.6	50.3	17.6	103.6	17.6	49.1	17.6	47.1	16.7	17.3
17.8	70.5	17.8	108.4	17.8	27.4	17.8	47.3	17	16.3
18	53.9	18	109.3	18	41.5	18	43.4	16.8	16.3
18.2	49.5	18.2	116.7	18.2	50.3	18.2	46.7	19.6	12.4
18.4	55.8	18.4	120.8	18.4	48.5	18.4	48.5	14.4	14.5
18.6	53.5	18.6	123.7	18.6	43.5	18.6	44	11.3	17
18.8	42.9	18.8	126.9	18.8	41.7	18.8	42	18.4	14.8
19	61.5	19	130.7	19	55.7	19	41.3	15.5	13.9
19.2	62.6	19.2	133.4	19.2	57.9	19.2	39.9	17.3	20.7
19.4	45	19.4	142.9	19.4	48.1	19.4	42.2	15.4	17.6
19.6	32.8	19.6	145.2	19.6	52.3	19.6	42.7	14.3	12.5
19.8	76.7	19.8	150.6	19.8	36.3	19.8	40	14.7	16.4
