"seconds" "limit" "threads" "schedule" "type"
32.224149 100000 1 "static" "OpenMp"
289.983308 300000 1 "static" "OpenMp"
1166.831585 600000 1 "static" "OpenMp"
24.368573 100000 2 "static" "OpenMp"
219.501073 300000 2 "static" "OpenMp"
877.452959 600000 2 "static" "OpenMp"
14.461521 100000 4 "static" "OpenMp"
129.670795 300000 4 "static" "OpenMp"
518.698583 600000 4 "static" "OpenMp"
10.584139 100000 6 "static" "OpenMp"
95.038707 300000 6 "static" "OpenMp"
380.385410 600000 6 "static" "OpenMp"
7.965544 100000 8 "static" "OpenMp"
71.570464 300000 8 "static" "OpenMp"
286.216349 600000 8 "static" "OpenMp"
32.262892 100000 1 "dynamic" "OpenMp"
290.038461 300000 1 "dynamic" "OpenMp"
1159.922268 600000 1 "dynamic" "OpenMp"
16.554008 100000 2 "dynamic" "OpenMp"
148.719411 300000 2 "dynamic" "OpenMp"
594.713381 600000 2 "dynamic" "OpenMp"
8.492266 100000 4 "dynamic" "OpenMp"
76.396243 300000 4 "dynamic" "OpenMp"
305.480340 600000 4 "dynamic" "OpenMp"
6.308087 100000 6 "dynamic" "OpenMp"
56.119836 300000 6 "dynamic" "OpenMp"
224.435479 600000 6 "dynamic" "OpenMp"
4.974902 100000 8 "dynamic" "OpenMp"
44.337582 300000 8 "dynamic" "OpenMp"
177.184883 600000 8 "dynamic" "OpenMp"
32.292937 100000 1 "guided" "OpenMp"
289.994590 300000 1 "guided" "OpenMp"
1159.916957 600000 1 "guided" "OpenMp"
16.539702 100000 2 "guided" "OpenMp"
148.682509 300000 2 "guided" "OpenMp"
594.624800 600000 2 "guided" "OpenMp"
8.491092 100000 4 "guided" "OpenMp"
76.381607 300000 4 "guided" "OpenMp"
305.504392 600000 4 "guided" "OpenMp"
6.297014 100000 6 "guided" "OpenMp"
56.165266 300000 6 "guided" "OpenMp"
224.437247 600000 6 "guided" "OpenMp"
5.025279 100000 8 "guided" "OpenMp"
44.446275 300000 8 "guided" "OpenMp"
177.197434 600000 8 "guided" "OpenMp"
32.312886 100000 1 "auto_open_mp" "OpenMp"
290.021100 300000 1 "auto_open_mp" "OpenMp"
1159.982035 600000 1 "auto_open_mp" "OpenMp"
24.372736 100000 2 "auto_open_mp" "OpenMp"
219.324303 300000 2 "auto_open_mp" "OpenMp"
877.098933 600000 2 "auto_open_mp" "OpenMp"
14.443144 100000 4 "auto_open_mp" "OpenMp"
129.851932 300000 4 "auto_open_mp" "OpenMp"
518.683236 600000 4 "auto_open_mp" "OpenMp"
10.339694 100000 6 "auto_open_mp" "OpenMp"
92.948509 300000 6 "auto_open_mp" "OpenMp"
371.579621 600000 6 "auto_open_mp" "OpenMp"
7.960797 100000 8 "auto_open_mp" "OpenMp"
71.622043 300000 8 "auto_open_mp" "OpenMp"
285.989418 600000 8 "auto_open_mp" "OpenMp"
33.473660 100000 1 "auto_mpi" "MPI"
301.330571 300000 1 "auto_mpi" "MPI"
1205.088740 600000 1 "auto_mpi" "MPI"
25.747884 100000 2 "auto_mpi" "MPI"
231.638126 300000 2 "auto_mpi" "MPI"
926.506624 600000 2 "auto_mpi" "MPI"
15.410576 100000 4 "auto_mpi" "MPI"
137.847255 300000 4 "auto_mpi" "MPI"
552.915198 600000 4 "auto_mpi" "MPI"
12.483279 100000 6 "auto_mpi" "MPI"
112.817985 300000 6 "auto_mpi" "MPI"
416.105296 600000 6 "auto_mpi" "MPI"
8.717957 100000 8 "auto_mpi" "MPI"
77.105624 300000 8 "auto_mpi" "MPI"
309.826821 600000 8 "auto_mpi" "MPI"
