tstamp tipo nbytes
3.22806 read 130
6.16755 read 1172
12.96876 write 224
27.77754 write 304
31.64822 read 127
33.2448 read 540
40.43227 write 272
41.78642 read 940
44.6838 read 1060
47.71605 read 129
47.83407 read 522
55.86225 write 279
58.47476 read 915
59.85928 read 4234
71.16522 read 983
71.66878 read 142
77.54227 read 959
80.15284 write 2452
91.75733 read 115
98.2061 read 129
98.98646 write 4280
100.065 write 274
111.65676 read 119
120.03874 read 4294
124.88695 read 1121
134.30627 read 117
137.16558 read 514
155.62452 read 124
159.33826 read 898
159.92564 write 2077
168.37335 read 469
177.81385 write 258
179.31469 read 459
179.54785 read 4058
200.23236 write 3984
202.44202 read 149
203.99882 read 104
207.03116 read 127
211.94329 read 892
214.98221 read 132
223.9353 read 476
231.74139 read 551
232.50455 read 137
238.47004 write 1800
239.19931 read 3967
239.47507 read 446
241.57686 read 1028
248.24154 read 495
255.93303 read 133
261.39135 write 263
275.9985 read 113
278.24843 read 972
296.66405 read 457
298.0494 read 512
300.09089 read 4298
300.11454 read 507
300.70481 read 124
301.44001 write 4128
304.36762 read 159
305.51149 read 146
311.68961 read 497
318.98069 write 1909
334.91532 read 140
351.85671 read 107
360.57101 read 4025
364.56335 read 553
373.47645 read 142
376.59628 read 132
379.09299 write 239
380.1801 read 130
384.44156 write 207
388.36644 read 141
390.38896 read 133
395.761 read 126
399.22831 write 1887
400.42437 write 4398
420.03912 read 3874
420.42101 read 544
435.09624 read 472
448.91812 read 132
448.93605 read 148
452.46881 read 511
454.83459 read 522
467.96701 read 113
473.91798 write 261
475.5262 read 123
476.89221 write 2412
479.5862 read 4706
481.81264 read 539
499.08 read 120
501.63812 write 4091
502.96536 read 970
505.92014 read 526
512.20793 read 122
527.33061 read 120
530.26416 read 568
539.32789 read 603
539.95258 read 128
540.01455 read 4213
544.97738 read 113
545.99431 read 963
558.27115 write 1899
558.9307 write 279
563.14201 read 491
563.46647 read 984
584.87158 read 121
592.06673 read 547
594.28252 read 542
598.81461 read 484
600.49137 read 3984
602.05076 read 1049
602.18613 write 4085
614.61787 read 931
617.02084 read 552
622.21785 read 418
633.22502 write 249
634.61973 read 1123
638.64037 read 479
638.95169 write 2091
642.47181 read 540
646.61135 read 505
659.08686 read 529
660.94859 read 3839
664.26807 write 278
665.71474 read 147
673.45289 read 981
678.6572 read 127
683.39308 read 139
689.03768 read 118
689.10497 read 130
696.42324 read 119
698.3313 read 129
698.7426 read 144
702.17955 write 4230
704.05159 read 456
707.98768 read 120
715.93417 write 263
718.32804 write 2184
721.73782 read 4047
726.50006 read 1065
741.10321 read 547
756.08975 write 267
763.23685 read 1089
766.05782 read 95
769.39577 read 145
769.61587 read 135
775.32858 read 128
779.88911 read 985
781.66297 read 3849
796.95693 read 996
798.38931 write 2249
802.39042 read 518
803.04433 write 4050
807.20493 read 941
808.00071 read 1029
816.31097 read 504
820.56123 read 539
831.72769 read 537
842.98161 read 4603
855.28344 read 94
873.21425 read 154
877.38304 write 2280
879.04375 read 124
883.23426 read 130
892.63008 read 475
895.07397 read 1157
902.08491 read 3958
902.99286 write 3925
904.27192 read 1063
905.77847 read 1094
911.05821 read 972
913.81376 read 127
917.59313 read 1106
918.20473 read 139
920.34014 read 154
924.95424 read 116
927.30158 read 142
939.11178 read 528
940.4169 read 1018
948.49112 read 1049
950.52506 write 236
950.58825 write 286
956.78639 write 2175
962.70915 read 4344
964.60062 read 450
964.69735 read 119
971.07605 read 137
978.08807 read 121
993.66168 read 118
998.52368 write 235
1001.99669 read 1107
1003.29302 write 4364
1017.83187 read 536
1022.73012 read 3805
1026.47985 read 529
1037.6495 write 2254
1044.62219 read 150
1050.07642 read 111
1082.92481 read 107
1083.0586 read 4098
1091.54435 read 523
1101.1503 read 517
1102.26841 read 126
1103.55281 write 4398
1104.37304 write 237
1104.8874 read 115
1113.91636 read 130
1118.59304 write 2835
1127.66617 read 118
1131.1216 write 239
1134.94282 read 501
1138.02869 read 123
1142.96397 read 492
1142.9719 read 4062
1164.43709 read 492
1175.10958 read 459
1177.49073 read 133
1190.31335 read 117
1197.87819 write 2010
1199.51356 read 476
1203.37713 write 4057
1203.62931 read 3979
1204.3041 read 950
1219.54544 read 558
1236.41692 read 1020
1244.4168 write 228
1246.26248 read 1028
1253.31683 read 497
1260.20099 read 139
1264.39908 read 4432
1273.93415 write 282
1276.5651 read 451
1277.56621 read 493
1278.36974 write 2309
1280.9947 write 274
1285.55195 write 274
1303.55689 write 4062
1307.01146 read 142
1314.15865 read 496
1315.4013 read 134
1315.45511 read 125
1324.8368 read 4193
1359.16519 write 2126
1371.192 read 144
1382.04102 read 133
1384.62406 read 4598
1398.58889 write 241
1398.62554 read 1027
1403.53169 write 4484
1417.38811 read 139
1432.37432 read 150
1439.12474 write 1968
1445.14417 read 3590
1445.9635 read 109
1447.17839 write 235
1458.90297 read 110
1466.05823 read 1061
1468.25708 write 262
1469.88303 read 1099
1473.22983 read 494
1474.25719 read 579
1476.75922 write 209
1478.02443 read 109
1479.73115 read 111
1482.86886 read 482
1486.43815 write 271
1488.22972 read 1175
1493.15785 read 1090
1498.47846 read 138
1503.07615 write 4568
1506.64176 read 3733
1517.42421 write 1993
1523.83487 read 131
1532.88958 read 988
1559.7985 read 129
1567.72515 read 541
1567.99267 read 4092
1579.50107 read 493
1582.16481 read 128
1592.93786 read 130
1595.32604 read 507
1598.52003 write 2074
1600.00752 read 131
1603.64319 write 3705
1610.20497 read 1066
1619.84572 read 930
1622.46996 read 555
1624.02124 read 1041
1626.89592 read 4309
1628.53828 read 1136
1628.96953 read 139
1629.07844 write 220
1647.89011 read 118
1654.80371 read 570
1671.38487 read 111
1677.17807 read 139
1678.75086 write 2029
1686.02063 read 3442
1696.08871 read 149
1696.98509 read 513
1704.8354 write 3886
1714.66233 read 127
1721.98445 read 1107
1723.14528 read 545
1727.98344 read 154
1736.37994 read 132
1744.92609 read 4327
1749.00079 read 1075
1755.4419 read 124
1758.82881 write 2321
1761.90072 read 1040
1765.08721 read 503
1772.69079 read 111
1785.70785 read 492
1788.82553 write 249
1790.59767 read 130
1794.93183 read 1095
1803.73129 read 3956
1804.15655 write 4182
1804.47451 read 117
1806.68283 read 136
1807.56065 read 986
1811.87904 read 543
1813.7457 read 118
1815.40351 read 1104
1822.39216 write 283
1823.3482 read 116
1824.83448 read 968
1838.67994 read 151
1840.54379 write 1916
1845.3058 read 473
1846.81269 write 258
1850.57468 read 123
1851.37477 read 1113
1852.92931 read 866
1857.76344 read 555
1863.01516 read 462
1863.25474 read 4603
1872.13193 read 116
1872.43322 read 998
1900.22256 read 1014
1906.47767 write 4147
1910.31139 write 243
1912.58572 read 577
1920.9713 read 492
1921.94496 write 2234
1924.72669 read 3953
1925.88964 write 245
1938.5528 read 484
1952.23571 read 501
1954.93492 read 899
1982.6253 read 3658
2001.98963 write 1802
2005.28234 read 133
2006.02156 read 1114
2006.58962 write 4310
2008.98356 read 114
2014.15832 read 115
2015.36608 read 568
2016.54127 read 471
2021.92202 read 506
2027.36288 read 525
2033.68953 read 1030
2042.84156 read 4402
2045.68088 read 124
2064.60427 write 260
2065.48227 read 136
2077.84265 read 1096
2082.04179 write 1772
2084.18658 read 547
2094.4469 read 132
2103.60508 read 3891
2105.50053 read 143
2107.52962 write 4471
2109.19844 write 269
2115.60857 read 134
2125.82578 read 1025
2134.85458 read 119
2136.01675 read 122
2138.16288 read 117
2139.53067 read 974
2141.45063 read 480
2146.97281 read 97
2150.26587 write 271
2152.94762 read 126
2154.0734 write 261
2154.94097 read 898
2157.00239 read 458
2159.7368 read 534
2163.55561 write 1726
2163.95026 read 4382
2170.7507 read 1058
2174.30856 read 899
2192.84079 read 514
2207.67202 write 4329
2209.25991 write 194
2220.5935 read 413
2224.02372 read 4218
2225.08786 read 518
2226.54464 read 515
2241.21378 read 1098
2244.13996 write 1999
2258.793 read 1006
2264.00596 write 251
2272.95136 read 512
2274.10514 read 125
2274.49992 read 487
2278.1727 read 134
2285.31293 read 4220
2301.08355 read 501
2308.65429 write 4246
2313.45219 write 256
2314.1472 read 133
2318.3261 read 148
2324.38322 read 131
2324.43576 write 2089
2343.17097 write 237
2346.00791 read 4596
2351.42963 read 538
2356.93836 read 543
2360.16641 read 586
2372.78913 read 534
2373.33164 write 295
2378.4587 read 578
2388.01847 read 962
2392.47775 write 240
