SECONDS;LIMIT;THREADS;SCHEDULE
0.000082;100;1;static
0.005434;1000;1;static
0.465286;10000;1;static
0.000953;100;2;static
0.004173;1000;2;static
0.364724;10000;2;static
0.002439;100;4;static
0.004155;1000;4;static
0.267189;10000;4;static
0.000272;100;6;static
0.004999;1000;6;static
0.218875;10000;6;static
0.000325;100;8;static
0.008497;1000;8;static
0.214216;10000;8;static
0.000055;100;1;dynamic
0.004784;1000;1;dynamic
0.475387;10000;1;dynamic
0.000752;100;2;dynamic
0.002713;1000;2;dynamic
0.246167;10000;2;dynamic
0.004583;100;4;dynamic
0.006372;1000;4;dynamic
0.170783;10000;4;dynamic
0.003541;100;6;dynamic
0.002043;1000;6;dynamic
0.173801;10000;6;dynamic
0.000422;100;8;dynamic
0.006421;1000;8;dynamic
0.175224;10000;8;dynamic
0.000057;100;1;guided
0.004779;1000;1;guided
0.474480;10000;1;guided
0.000102;100;2;guided
0.002770;1000;2;guided
0.243467;10000;2;guided
0.000528;100;4;guided
0.001702;1000;4;guided
0.173678;10000;4;guided
0.000844;100;6;guided
0.003766;1000;6;guided
0.173507;10000;6;guided
0.002952;100;8;guided
0.002894;1000;8;guided
0.172303;10000;8;guided
0.000072;100;1;auto
0.004805;1000;1;auto
0.460154;10000;1;auto
0.000275;100;2;auto
0.003614;1000;2;auto
0.351609;10000;2;auto
0.000746;100;4;auto
0.002942;1000;4;auto
0.222443;10000;4;auto
0.000692;100;6;auto
0.003363;1000;6;auto
0.213081;10000;6;auto
0.000593;100;8;auto
0.002733;1000;8;auto
0.200883;10000;8;auto



32.236166;100000;1;dynamic
289.972373;300000;1;dynamic
1159.834235;600000;1;dynamic
16.531447;100000;2;dynamic
148.745074;300000;2;dynamic
594.790611;600000;2;dynamic
8.491941;100000;4;dynamic
76.445247;300000;4;dynamic
