SECONDS;LIMIT;THREADS;SCHEDULE
32.224149;100000;1;static
289.983308;300000;1;static
1166.831585;600000;1;static
24.368573;100000;2;static
219.501073;300000;2;static
877.452959;600000;2;static
14.461521;100000;4;static
129.670795;300000;4;static
518.698583;600000;4;static
10.584139;100000;6;static
95.038707;300000;6;static
380.385410;600000;6;static
7.965544;100000;8;static
71.570464;300000;8;static
286.216349;600000;8;static
32.262892;100000;1;dynamic
290.038461;300000;1;dynamic
1159.922268;600000;1;dynamic
16.554008;100000;2;dynamic
148.719411;300000;2;dynamic
594.713381;600000;2;dynamic
8.492266;100000;4;dynamic
76.396243;300000;4;dynamic
305.480340;600000;4;dynamic
6.308087;100000;6;dynamic
56.119836;300000;6;dynamic
224.435479;600000;6;dynamic
4.974902;100000;8;dynamic
44.337582;300000;8;dynamic
177.184883;600000;8;dynamic
32.292937;100000;1;guided
289.994590;300000;1;guided
1159.916957;600000;1;guided
16.539702;100000;2;guided
148.682509;300000;2;guided
594.624800;600000;2;guided
8.491092;100000;4;guided
76.381607;300000;4;guided
305.504392;600000;4;guided
6.297014;100000;6;guided
56.165266;300000;6;guided
224.437247;600000;6;guided
5.025279;100000;8;guided
44.446275;300000;8;guided
177.197434;600000;8;guided
32.312886;100000;1;auto
290.021100;300000;1;auto
1159.982035;600000;1;auto
24.372736;100000;2;auto
219.324303;300000;2;auto
877.098933;600000;2;auto
14.443144;100000;4;auto
129.851932;300000;4;auto
518.683236;600000;4;auto
10.339694;100000;6;auto
92.948509;300000;6;auto
371.579621;600000;6;auto
7.960797;100000;8;auto
71.622043;300000;8;auto
285.989418;600000;8;auto
