SECONDS;LIMIT;THREADS;SCHEDULE
33.473660;100000;1;MPI
301.330571;300000;1;MPI
1205.088740;600000;1;MPI
25.747884;100000;2;MPI
231.638126;300000;2;MPI
926.506624;600000;2;MPI
15.410576;100000;4;MPI
137.847255;300000;4;MPI
552.915198;600000;4;MPI
11.268431;100000;6;MPI
97.193056;300000;6;MPI
392.578430;600000;6;MPI
8.717957;100000;8;MPI
77.105624;300000;8;MPI
309.826821;600000;8;MPI
6.953228;100000;10;MPI
62.446696;300000;10;MPI
249.695689;600000;10;MPI
6.103516;100000;12;MPI
54.927410;300000;12;MPI
219.586234;600000;12;MPI
5.034634;100000;16;MPI
46.742697;300000;16;MPI
185.019449;600000;16;MPI
6.318158;100000;20;MPI
58.233415;300000;20;MPI
239.442848;600000;20;MPI
5.140367;100000;24;MPI
48.935032;300000;24;MPI
200.292410;600000;24;MPI
