SECONDS;LIMIT;THREADS;SCHEDULE
32.287788;100000;1;static_mpi_openmp
289.705238;300000;1;static_mpi_openmp
1158.728461;600000;1;static_mpi_openmp
32.231025;100000;1;dynamic_mpi_openmp
289.708781;300000;1;dynamic_mpi_openmp
1158.459227;600000;1;dynamic_mpi_openmp
32.206119;100000;1;guided_mpi_openmp
289.784665;300000;1;guided_mpi_openmp
1158.686740;600000;1;guided_mpi_openmp
14.926081;100000;8;static_mpi_openmp
139.643199;300000;8;static_mpi_openmp
572.609612;600000;8;static_mpi_openmp
14.930010;100000;8;dynamic_mpi_openmp
139.652126;300000;8;dynamic_mpi_openmp
572.640587;600000;8;dynamic_mpi_openmp
14.928081;100000;8;guided_mpi_openmp
139.657823;300000;8;guided_mpi_openmp
572.646859;600000;8;guided_mpi_openmp
7.506512;100000;16;static_mpi_openmp
70.136177;300000;16;static_mpi_openmp
287.227147;600000;16;static_mpi_openmp
7.498001;100000;16;dynamic_mpi_openmp
70.005139;300000;16;dynamic_mpi_openmp
287.069529;600000;16;dynamic_mpi_openmp
7.497699;100000;16;guided_mpi_openmp
70.008684;300000;16;guided_mpi_openmp
287.021009;600000;16;guided_mpi_openmp
7.673953;100000;24;static_mpi_openmp
71.753346;300000;24;static_mpi_openmp
294.246544;600000;24;static_mpi_openmp
7.690484;100000;24;dynamic_mpi_openmp
71.827530;300000;24;dynamic_mpi_openmp
294.218248;600000;24;dynamic_mpi_openmp
7.695118;100000;24;guided_mpi_openmp
71.764093;300000;24;guided_mpi_openmp
294.122604;600000;24;guided_mpi_openmp
